gene_name,sign,mf
ATR,1,kin
PPP1CA,1,phos
MAPKAPK2,1,kin
PIP3,1,other
STK11,1,kin
CULLIN_1_RBX1_SKP1,1,complex
MAPK8,1,kin
PRKAA1,1,kin
DAB2IP,1,other
BMPR1A,1,kin
DYRK1A,1,kin
ESR1,1,tf
GSK3B,1,kin
PPM1A,1,phos
MAPK3,1,kin
PRKCD,1,kin
PTEN,1,phos
PPP2CA,1,phos
PRKCB,1,kin
ETS1,1,tf
PRKCE,1,kin
SP1,1,tf
TGFB1,1,other
PLK3,1,kin
MAP3K5,1,kin
PRKCA,1,kin
PP2CA_R1A_BD,1,phos;phos
MAP2K7,1,kin
FOXO3,1,tf
BMP7,1,other
PPP2R5D,1,phos
MTOR,1,kin
PTPN11,1,phos
PIM3,1,kin
CSNK2A2,1,kin
LATS1,1,kin
FGR,1,kin
CSNK1D,1,kin
HSP90AA1,1,other
TRAF2,1,other
MAP2K3,1,kin
CAMK2B,1,kin
ROCK1,1,kin
SMAD1_4,1,tf
FLT3,1,kin
STAT5A,1,tf
RELA,1,tf
PRKACA,1,kin
AR,1,tf
ELK1,1,tf
FAM20C,1,kin
CAMKK1,1,kin
PCSK7,1,other
MYC,1,tf
RASSF1_INHIBITED,-1,other
YAP1,1,tf
MDM2_INHIBITED,-1,other
PDPK1,1,kin
PAK1_INHIBITED,-1,kin
SMURF1_INHIBITED,-1,other
AURKB_INHIBITED,-1,kin
ATF2,1,tf
HSF1_INHIBITED,-1,tf
CHUK_INHIBITED,-1,kin
KIT_INHIBITED,-1,kin
CHEK1_INHIBITED,-1,kin
NUAK2,1,kin
BMPR1B,1,kin
PLK2,1,kin
PROLIFERATION,1,phenotype
USF1,1,tf
USF2,1,tf
RPS6KA3_INHIBITED,-1,kin
GRK2,1,kin
NR5A1_INHIBITED,-1,tf
ATM_INHIBITED,-1,kin
NCF1,1,other
APOPTOSIS,1,phenotype
RPS6KA1_INHIBITED,-1,kin
AKT2_INHIBITED,-1,kin
RAF1,1,kin
PRKD2,1,kin
PAX6_INHIBITED,-1,tf
ERBB2_INHIBITED,-1,kin
POU5F1_INHIBITED,-1,tf
MAP3K7_INHIBITED,-1,kin
CTBP1_INHIBITED,-1,tf
NFE2L2,1,tf
PDPK1_INHIBITED,-1,kin
AUTOPHAGY_INHIBITED,-1,phenotype
ACVR2A,1,kin
ACVR2B,1,kin
MYCN,1,tf
MECOM_INHIBITED,-1,tf
RIPK2_INHIBITED,-1,kin
CDK5,1,kin
GAB2,1,other
NFATC2_INHIBITED,-1,tf
TGFBR1,1,kin
DYRK1B,1,kin
STAT1,1,tf
PI3K_INHIBITED,-1,kin
LIMK2,1,kin
CDK9_INHIBITED,-1,kin
PTPN6_INHIBITED,-1,phos
ARHGEF2_INHIBITED,-1,other
STK11_INHIBITED,-1,kin
NEK2_INHIBITED,-1,kin
AMPK_INHIBITED,-1,kin
EEF2K_INHIBITED,-1,kin
RELA_INHIBITED,-1,tf
MAPK15_INHIBITED,-1,kin
CDKN1A_INHIBITED,-1,kin
PRKAA2_INHIBITED,-1,kin
CAMKK2_INHIBITED,-1,kin
CDX2_INHIBITED,-1,tf
CIITA,1,other
CIC_INHIBITED,-1,tf
ATF6,1,tf
MAPK1_INHIBITED,-1,kin
EEF2K,1,kin
PRKAB1,1,kin
SLK,1,kin
