gene_name,sign,mf
CDK19,1,kin
PRKCD,1,kin
JAK1,1,kin
PRKACA,1,kin
SMAD3_SMAD4,1,tf
AKT2,1,kin
AKT3,1,kin
AKT1,1,kin
MAPK1,1,kin
MAPKAPK5,1,kin
SGK1,1,kin
CASP3,1,other
CHUK,1,kin
CSNK2A1,1,kin
ATM,1,kin
NANOG,1,tf
MAPK14,1,kin
SMAD4,1,tf
PIM2,1,kin
ROCK1,1,kin
DYRK1B,1,kin
SRC,1,kin
PTPN1,1,phos
GRM5,1,other
STAT5A,1,tf
LATS1,1,kin
MAP2K3,1,kin
NFKB1,1,tf
RPS6KA1,1,kin
DYRK1A,1,kin
STK11,1,kin
MAPK3,1,kin
PIP3,1,other
CDK7,1,kin
CYCLINA2_CDK2,1,kin
CAMKK2,1,kin
MAP3K7,1,kin
STAT1,1,tf
PAK1,1,kin
EIF2S1_INHIBITED,-1,other
PTPRA,1,phos
PRKAA1_INHIBITED,-1,kin
CEBPD_INHIBITED,-1,tf
AUTOPHAGY_INHIBITED,-1,phenotype
APOPTOSIS_INHIBITED,-1,phenotype
AR,1,tf
CREB1_INHIBITED,-1,tf
PROLIFERATION,1,phenotype
FBXW7_INHIBITED,-1,other
EEF2K,1,kin
ESR1,1,tf
CYLD_INHIBITED,-1,other
BRAF_INHIBITED,-1,kin
DYRK2,1,kin
STAT3_INHIBITED,-1,tf
PAX6_INHIBITED,-1,tf
TP53,1,tf
EEF2K_INHIBITED,-1,kin
MYC,1,tf
ARHGAP35_INHIBITED,-1,other
PRKD1,1,kin
PTK6_INHIBITED,-1,kin
CALCIUM_2__,1,other
MAPK9,1,kin
GTF2I,1,tf
FOXO1_INHIBITED,-1,tf
POU5F1_INHIBITED,-1,tf
RAF1_INHIBITED,-1,kin
MAP3K8_INHIBITED,-1,kin
CHEK1_INHIBITED,-1,kin
PTEN,1,phos
CDK9,1,kin
ATF2,1,tf
TP53BP1_INHIBITED,-1,tf
CAMK1,1,kin
RELA_INHIBITED,-1,tf
