source,target,sign,mechanism
CDK19,PAK1,1,phosphorylation
PRKCD,EIF2S1_INHIBITED,-1,phosphorylation
PRKCD,PTPRA,1,phosphorylation
JAK1,STAT5A,1,phosphorylation
PRKACA,PRKAA1_INHIBITED,-1,phosphorylation
SMAD3_SMAD4,CEBPD_INHIBITED,-1,binding
AKT2,AUTOPHAGY_INHIBITED,-1,NaN
AKT3,APOPTOSIS_INHIBITED,-1,NaN
AKT1,APOPTOSIS_INHIBITED,-1,NaN
AKT1,AR,1,phosphorylation
AKT2,CREB1_INHIBITED,-1,phosphorylation
AKT1,PROLIFERATION,1,NaN
MAPK1,FBXW7_INHIBITED,-1,phosphorylation
PRKACA,CREB1_INHIBITED,-1,phosphorylation
MAPKAPK5,EEF2K,1,phosphorylation
SGK1,FBXW7_INHIBITED,-1,phosphorylation
AKT2,ESR1,1,phosphorylation
CASP3,ROCK1,1,cleavage
CHUK,CYLD_INHIBITED,-1,phosphorylation
CHUK,ESR1,1,phosphorylation
CSNK2A1,ESR1,1,phosphorylation
CSNK2A1,PAK1,1,phosphorylation
MAPK1,BRAF_INHIBITED,-1,phosphorylation
MAPK1,ESR1,1,phosphorylation
ATM,DYRK2,1,phosphorylation
MAPK1,STAT3_INHIBITED,-1,phosphorylation
NANOG,PAX6_INHIBITED,-1,transcriptional regulation
MAPK1,TP53,1,phosphorylation
MAPK14,EEF2K_INHIBITED,-1,phosphorylation
MAPK14,STAT3_INHIBITED,-1,phosphorylation
MAPK14,TP53,1,phosphorylation
SMAD4,SMAD3_SMAD4,1,binding
PIM2,MYC,1,phosphorylation
ROCK1,ARHGAP35_INHIBITED,-1,phosphorylation
DYRK1B,APOPTOSIS_INHIBITED,-1,NaN
SRC,PRKD1,1,phosphorylation
PTPN1,PTK6_INHIBITED,-1,dephosphorylation
GRM5,CALCIUM_2__,1,relocalization
STAT5A,PIM2,1,transcriptional regulation
CSNK2A1,MAPK9,1,phosphorylation
MAPK1,GTF2I,1,phosphorylation
LATS1,PROLIFERATION,1,NaN
MAP2K3,MAPK14,1,phosphorylation
SRC,STAT5A,1,phosphorylation
AKT2,CHUK,1,phosphorylation
AKT2,FOXO1_INHIBITED,-1,phosphorylation
AKT2,POU5F1_INHIBITED,-1,phosphorylation
AKT2,RAF1_INHIBITED,-1,phosphorylation
NFKB1,MAP3K8_INHIBITED,-1,binding
RPS6KA1,CHEK1_INHIBITED,-1,phosphorylation
DYRK1A,FOXO1_INHIBITED,-1,phosphorylation
STK11,PTEN,1,phosphorylation
MAPK3,RAF1_INHIBITED,-1,phosphorylation
PIP3,AKT2,1,chemical activation
PRKACA,BRAF_INHIBITED,-1,phosphorylation
SGK1,FOXO1_INHIBITED,-1,phosphorylation
CDK7,CDK9,1,phosphorylation
CDK7,POU5F1_INHIBITED,-1,phosphorylation
CYCLINA2_CDK2,CDK7,1,phosphorylation
MAPK1,ATF2,1,phosphorylation
MAPK14,TP53BP1_INHIBITED,-1,phosphorylation
CAMKK2,CAMK1,1,phosphorylation
MAP3K7,MAP2K3,1,phosphorylation
MAPK1,MAPKAPK5,1,phosphorylation
RPS6KA1,ESR1,1,phosphorylation
STAT1,RELA_INHIBITED,-1,binding
