gene_name,sign,mf
LCK,1,kin
AKT2,1,kin
AXL,1,kin
BMX,1,kin
ITCH,1,other
JAK3,1,kin
LYN,1,kin
PRKCD,1,kin
TYK2,1,kin
YES1,1,kin
CYP19A1,1,other
ERBB2,1,kin
FGFR3,1,kin
PAK6,1,kin
JAK2,1,kin
MTOR,1,kin
PDPK1,1,kin
POU5F1,1,tf
PRKACA,1,kin
SOX17_POU5F1,1,tf
ATM,1,kin
DUSP8,1,phos
FER,1,kin
HCK,1,kin
KIT,1,kin
MAP3K7,1,kin
PDGFRB,1,kin
PLCG2,1,other
PRKCE,1,kin
CREBBP,1,tf
NEK2,1,kin
SRC,1,kin
ETS1,1,tf
X1_2_DIACYL_SN_GLYCEROL,1,other
BTK,1,kin
FGFR1,1,kin
MAPK8,1,kin
MERTK,1,kin
RPS6KA3,1,kin
RET,1,kin
NTRK1,1,kin
MAP3K8,1,kin
ALK,1,kin
SGK1,1,kin
FGF2,1,tf
FGFR4,1,kin
MECOM,1,tf
CHEK1,1,kin
MAP2K7,1,kin
NPM1,1,tf
SMG1,1,kin
ATR,1,kin
BLK,1,kin
CSK,1,kin
EPHA3,1,kin
DAPK1,1,kin
FRK,1,kin
GNAI1,1,other
IGF1R,1,kin
JAK1,1,kin
MAPK14,1,kin
MATK,1,kin
MET,1,kin
NEK1,1,kin
RPS6KA1,1,kin
CSNK1A1,1,kin
RANBP9,1,other
RELA,1,tf
FAM83G,1,other
SP1,1,tf
SSTR2,1,other
STK3,1,kin
STK4,1,kin
TEK,1,kin
PRKD1,1,kin
ULK1,1,kin
GSK3A,1,kin
PAK4,1,kin
PPP1R8,1,other
PRKAR1A,1,other
DYRK2,1,kin
HIPK2,1,kin
MTORC2,1,kin
STAT5A,1,tf
ERG,1,tf
PPP2CA_INHIBITED,-1,phos
PTEN,1,phos
PTPN1_INHIBITED,-1,phos
ERBB4_INHIBITED,-1,kin
STAT1,1,tf
LIMK2,1,kin
PTK2,1,kin
ESTRONE_INHIBITED,-1,NaN
X17BETA_ESTRADIOL_INHIBITED,-1,other
CDK1_INHIBITED,-1,kin
LIMK1,1,kin
APOPTOSIS_INHIBITED,-1,phenotype
GTF2I,1,tf
MYC,1,tf
PROLIFERATION,1,phenotype
STAT3,1,tf
ESR1,1,tf
PAK1,1,kin
RPS6KA1_INHIBITED,-1,kin
VIM_INHIBITED,-1,other
MYCN,1,tf
TFAP2C,1,tf
BTRC_INHIBITED,-1,other
TNK2,1,kin
MAPK14_INHIBITED,-1,kin
AR,1,tf
PRKD1_INHIBITED,-1,kin
TP53_INHIBITED,-1,tf
PTK2B,1,kin
WNK4_INHIBITED,-1,kin
ELK1,1,tf
MAP2K3,1,kin
MDM2_INHIBITED,-1,other
FGFR2,1,kin
MAPK8_INHIBITED,-1,kin
FBP1_INHIBITED,-1,other
SOCS1_INHIBITED,-1,other
SOX17_INHIBITED,-1,tf
PTPRC_INHIBITED,-1,phos
CAMKK2,1,kin
YAP1,1,tf
PIK3R1,1,kin
MAPKAPK2,1,kin
PPP2R5D,1,phos
DYRK1B_INHIBITED,-1,kin
DDR2,1,kin
EPITHELIAL_MESENCHYMAL_TRANSITION,1,phenotype
GRK2_INHIBITED,-1,kin
LATS1_INHIBITED,-1,kin
MOB1A,1,other
RIPK1_INHIBITED,-1,kin
PPP1CA_INHIBITED,-1,phos
PRKACA_INHIBITED,-1,kin
TBK1_INHIBITED,-1,kin
DEF6,1,other
CDX2_INHIBITED,-1,tf
