source,target,sign,mechanism
LCK,PPP2CA_INHIBITED,-1,phosphorylation
LCK,PTEN,1,phosphorylation
AKT2,PTPN1_INHIBITED,-1,phosphorylation
AXL,LYN,1,phosphorylation
AXL,YES1,1,phosphorylation
BMX,FGFR1,1,phosphorylation
ITCH,ERBB4_INHIBITED,-1,polyubiquitination;ubiquitination
JAK3,STAT1,1,phosphorylation
LYN,PTEN,1,phosphorylation
PRKCD,LIMK2,1,phosphorylation
TYK2,STAT1,1,phosphorylation
YES1,ERBB2,1,phosphorylation
YES1,PTK2,1,phosphorylation
AKT2,POU5F1,1,phosphorylation
CYP19A1,ESTRONE_INHIBITED,-1,chemical modification
CYP19A1,X17BETA_ESTRADIOL_INHIBITED,-1,chemical modification
ERBB2,CDK1_INHIBITED,-1,phosphorylation
FGFR3,PTEN,1,phosphorylation
PAK6,LIMK1,1,phosphorylation
JAK2,APOPTOSIS_INHIBITED,-1,NaN
JAK2,GTF2I,1,phosphorylation
JAK2,MYC,1,binding;transcriptional regulation
JAK2,PROLIFERATION,1,NaN
JAK2,STAT1,1,phosphorylation
JAK2,STAT3,1,phosphorylation
JAK3,STAT3,1,phosphorylation
ERBB2,ESR1,1,phosphorylation
MTOR,STAT3,1,phosphorylation
JAK2,PAK1,1,phosphorylation
PDPK1,RPS6KA1_INHIBITED,-1,phosphorylation
POU5F1,SOX17_POU5F1,1,binding
PRKACA,VIM_INHIBITED,-1,phosphorylation
SOX17_POU5F1,MYCN,1,transcriptional regulation
SOX17_POU5F1,TFAP2C,1,transcriptional regulation
TYK2,STAT3,1,phosphorylation
ATM,BTRC_INHIBITED,-1,phosphorylation
AXL,LCK,1,phosphorylation
AXL,SRC,1,phosphorylation
BMX,TNK2,1,phosphorylation
DUSP8,MAPK14_INHIBITED,-1,dephosphorylation
FER,AR,1,phosphorylation
FER,MET,1,phosphorylation
HCK,PLCG2,1,phosphorylation
KIT,JAK2,1,binding
MAP3K7,MAP2K7,1,phosphorylation
PDGFRB,GNAI1,1,phosphorylation
PDGFRB,PTK2,1,phosphorylation
PDGFRB,SRC,1,phosphorylation
PLCG2,X1_2_DIACYL_SN_GLYCEROL,1,chemical modification
PRKCE,FGFR1,1,phosphorylation
PRKCE,PRKD1_INHIBITED,-1,phosphorylation
CREBBP,CSK,1,binding
CREBBP,PROLIFERATION,1,NaN
LCK,ESR1,1,phosphorylation
NEK2,TP53_INHIBITED,-1,phosphorylation
SRC,BTK,1,phosphorylation
SRC,ETS1,1,phosphorylation
SRC,FER,1,phosphorylation
SRC,GTF2I,1,phosphorylation
SRC,PTK2B,1,phosphorylation
SRC,STAT1,1,phosphorylation
SRC,TNK2,1,phosphorylation
SRC,WNK4_INHIBITED,-1,phosphorylation
ETS1,APOPTOSIS_INHIBITED,-1,NaN
HCK,STAT3,1,phosphorylation
AXL,STAT3,1,phosphorylation
AXL,STAT5A,1,phosphorylation
X1_2_DIACYL_SN_GLYCEROL,PRKCE,1,binding
BTK,STAT5A,1,phosphorylation
FGFR1,STAT3,1,phosphorylation
MAPK8,ELK1,1,phosphorylation
SRC,STAT3,1,phosphorylation
MERTK,STAT3,1,phosphorylation
RPS6KA3,STAT3,1,phosphorylation
MERTK,TNK2,1,phosphorylation
RET,MAPK14,1,phosphorylation
NTRK1,STAT3,1,phosphorylation
PRKACA,RET,1,phosphorylation
MAP3K8,MAP2K3,1,phosphorylation
YES1,APOPTOSIS_INHIBITED,-1,NaN
YES1,PROLIFERATION,1,NaN
ALK,STAT3,1,binding;phosphorylation
RPS6KA3,PROLIFERATION,1,NaN
BTK,TP53_INHIBITED,-1,phosphorylation
SGK1,MDM2_INHIBITED,-1,phosphorylation
FGF2,FGFR2,1,binding
FGF2,FGFR3,1,binding
FGF2,FGFR4,1,binding
FGFR3,STAT1,1,phosphorylation
FGFR3,STAT3,1,phosphorylation
FGFR4,STAT1,1,phosphorylation
FGFR4,STAT3,1,phosphorylation
KIT,PROLIFERATION,1,NaN
KIT,STAT1,1,phosphorylation
MECOM,TEK,1,transcriptional regulation
CHEK1,TP53_INHIBITED,-1,phosphorylation
MAP2K7,MAPK8_INHIBITED,-1,phosphorylation
NPM1,FBP1_INHIBITED,-1,transcriptional regulation
YES1,SOCS1_INHIBITED,-1,phosphorylation
SMG1,TP53_INHIBITED,-1,phosphorylation
POU5F1,SOX17_INHIBITED,-1,transcriptional regulation
ATR,SP1,1,phosphorylation
BLK,SOCS1_INHIBITED,-1,phosphorylation
BMX,MET,1,phosphorylation
BMX,PTK2,1,phosphorylation
BMX,PAK1,1,phosphorylation
CSK,PTPRC_INHIBITED,-1,phosphorylation
CSK,SRC,1,phosphorylation
EPHA3,SRC,1,binding
DAPK1,CAMKK2,1,phosphorylation
FGFR4,STK4,1,phosphorylation
FRK,YAP1,1,phosphorylation
GNAI1,HCK,1,binding
GNAI1,SRC,1,binding
IGF1R,PIK3R1,1,binding
