gene_name,sign,mf
CDK5,1,kin
MTOR,1,kin
MAPK14,1,kin
TERF2,1,other
MAPKAPK2,1,kin
CSNK1A1,1,kin
PPP2CA,1,phos
PLK3,1,kin
SCAP,1,other
PRKACA,1,kin
CSNK1E,1,kin
CSNK2A1,1,kin
MAP3K7,1,kin
MYC,1,tf
PRKAA2,1,kin
CDK1,1,kin
MEF2C,1,tf
ADCY3,1,other
X3__5__CYCLIC_AMP,1,other
RIPK1,1,kin
CDK4,1,kin
CDK6,1,kin
CHEK2,1,kin
DYRK1B,1,kin
GSK3A,1,kin
PPP1CC,1,phos
MAPK1,1,kin
PP2CA_R1A_BD,1,phos;phos
MAPK9,1,kin
MAPK8,1,kin
CHUK,1,kin
SMURF1,1,other
NLK,1,kin
MAPK3,1,kin
ROCK1,1,kin
SOCS1,1,other
ATR,1,kin
CDK2,1,kin
NFYA,1,tf
PRKDC,1,kin
STK4,1,kin
ABL1,1,kin
AMPK,1,kin
CDK9,1,kin
CHEK1,1,kin
CXCL1,1,other
ETS2,1,tf
HIPK2,1,kin
HIPK3,1,kin
NFKB1,1,tf
POU5F1,1,tf
STK38,1,kin
X17BETA_ESTRADIOL,1,other
GSK3B,1,kin
RPS6KA1,1,kin
TP53,1,tf
LYN,1,kin
TRPM7,1,kin
AKT2,1,kin
PTEN,1,phos
CYP1B1,1,other
FOXO3,1,tf
ITCH,1,other
SP1,1,tf
CYCLIND_CDK4,1,kin
YAP1,1,tf
CDK8,1,kin
DNMT1,1,other
STAT1,1,tf
ULK1,1,kin
FOXO1,1,tf
LRRK2,1,kin
PTPN1,1,phos
FLT3,1,kin
CAMK4,1,kin
CAMKK2,1,kin
LATS2,1,kin
PAK1,1,kin
PAK5,1,kin
PRKAA1,1,kin
MARK2,1,kin
PRKCE,1,kin
ARHGAP35,1,other
PARP1_INHIBITED,-1,other
HSF1_INHIBITED,-1,tf
ATM_INHIBITED,-1,kin
RIPK1_INHIBITED,-1,kin
RELA,1,tf
NCF1,1,other
PRKCD_INHIBITED,-1,kin
PTEN_INHIBITED,-1,phos
SREBF2,1,tf
CAMKK1_INHIBITED,-1,kin
PROLIFERATION,1,phenotype
MDM2_INHIBITED,-1,other
KSR1_INHIBITED,-1,kin
BCR_ABL,1,fusion protein
PAK1_INHIBITED,-1,kin
HIF1A,1,tf
CDKL5,1,kin
STAT3,1,tf
CELL CYCLE EXIT_INHIBITED,-1,phenotype
E2F3,1,tf
APOPTOSIS,1,phenotype
NCOA3_INHIBITED,-1,NaN
MAP2K7_INHIBITED,-1,kin
EIF2S1_INHIBITED,-1,other
RPS6KA1_INHIBITED,-1,kin
RAF1,1,kin
PRKCB_INHIBITED,-1,kin
ELK1,1,tf
NFKB_P65_P50_INHIBITED,-1,tf
BMPR2_INHIBITED,-1,kin
RAF1_INHIBITED,-1,kin
EEF2K_INHIBITED,-1,kin
IRAK1_INHIBITED,-1,kin
E2F1,1,tf
NFKB_P65_P50,1,tf
AR,1,tf
CDC7_INHIBITED,-1,kin
CDX2_INHIBITED,-1,tf
GRK2_INHIBITED,-1,kin
PRKAR1A_INHIBITED,-1,other
SREBF1,1,tf
POU5F1_INHIBITED,-1,tf
LATS1_INHIBITED,-1,kin
FOXM1,1,tf
APOPTOSIS_INHIBITED,-1,phenotype
ESR1_INHIBITED,-1,tf
CDK5_CDK5R1,1,kin
PRKACA_INHIBITED,-1,kin
FADD_INHIBITED,-1,other
MYCN,1,tf
CLK3,1,kin
PAX6_INHIBITED,-1,tf
PINK1,1,kin
TFAP2A,1,tf
AAK1,1,kin
ESR2,1,tf
CHEK1_INHIBITED,-1,kin
RUNX3_INHIBITED,-1,tf
TFEB,1,tf
CAMKK2_INHIBITED,-1,kin
FOXO1_INHIBITED,-1,tf
CTBP1_INHIBITED,-1,tf
RPS6,1,other
MAPK3_INHIBITED,-1,kin
CDK18,1,kin
MARK2_INHIBITED,-1,kin
STK11_INHIBITED,-1,kin
STK3_INHIBITED,-1,kin
MAP2K4_INHIBITED,-1,kin
MAP2K6_INHIBITED,-1,kin
RCAN1_INHIBITED,-1,other
RB1_INHIBITED,-1,tf
MAVS_INHIBITED,-1,other
USF2,1,tf
STAT5A,1,tf
MECP2,1,tf
EGFR_INHIBITED,-1,kin
EIF4EBP1_INHIBITED,-1,other
CCNH_INHIBITED,-1,other
HSP90AA1_INHIBITED,-1,other
CASP3_INHIBITED,-1,other
PRKAG3_INHIBITED,-1,kin
AURKB,1,kin
NEK11,1,kin
AUTOPHAGY,1,phenotype
MAPK14_INHIBITED,-1,kin
GSK3A_INHIBITED,-1,kin
TLK1_INHIBITED,-1,kin
BRAF,1,kin
CSNK1E_INHIBITED,-1,kin
RET_INHIBITED,-1,kin
GLI2_INHIBITED,-1,tf
SRPK2,1,kin
ARHGEF2_INHIBITED,-1,other
ULK1_INHIBITED,-1,kin
ULK2_INHIBITED,-1,kin
MET_INHIBITED,-1,kin
PKN2_INHIBITED,-1,kin
LCK_INHIBITED,-1,kin
TTK,1,kin
