source,target,sign,mechanism
CDK5,PARP1_INHIBITED,-1,phosphorylation
MTOR,HSF1_INHIBITED,-1,phosphorylation
MAPK14,HSF1_INHIBITED,-1,phosphorylation
TERF2,ATM_INHIBITED,-1,binding
MAPKAPK2,RIPK1_INHIBITED,-1,phosphorylation
CSNK1A1,RELA,1,phosphorylation
MAPK14,NCF1,1,phosphorylation
PPP2CA,PRKCD_INHIBITED,-1,dephosphorylation
PLK3,PTEN_INHIBITED,-1,phosphorylation
SCAP,SREBF2,1,relocalization
PRKACA,CAMKK1_INHIBITED,-1,phosphorylation
CSNK1E,PROLIFERATION,1,NaN
CSNK2A1,MDM2_INHIBITED,-1,phosphorylation
CSNK2A1,PTEN_INHIBITED,-1,phosphorylation
MAP3K7,KSR1_INHIBITED,-1,phosphorylation
MYC,BCR_ABL,1,transcriptional regulation
PPP2CA,PAK1_INHIBITED,-1,dephosphorylation
PRKAA2,FOXO3,1,phosphorylation
CDK1,HIF1A,1,phosphorylation
CDK1,SP1,1,phosphorylation
MEF2C,CDKL5,1,transcriptional regulation
ADCY3,X3__5__CYCLIC_AMP,1,chemical modification
X3__5__CYCLIC_AMP,PRKACA,1,chemical activation
RIPK1,MAP3K7,1,binding
CDK4,PROLIFERATION,1,NaN
CDK5,DNMT1,1,phosphorylation
CDK5,HIF1A,1,phosphorylation
CDK5,PAK1_INHIBITED,-1,phosphorylation
CDK5,STAT3,1,phosphorylation
CDK6,CELL CYCLE EXIT_INHIBITED,-1,NaN
CDK6,PROLIFERATION,1,NaN
CHEK2,E2F3,1,phosphorylation
DYRK1B,APOPTOSIS,1,NaN
GSK3A,NCOA3_INHIBITED,-1,phosphorylation
MAP3K7,MAP2K7_INHIBITED,-1,phosphorylation
PPP1CC,EIF2S1_INHIBITED,-1,dephosphorylation
MAP3K7,NLK,1,phosphorylation
PPP1CC,CDK9,1,dephosphorylation
MAPK1,DYRK1B,1,phosphorylation
MAPK1,PAK1_INHIBITED,-1,phosphorylation
MAPKAPK2,HSF1_INHIBITED,-1,phosphorylation
MAPKAPK2,RPS6KA1_INHIBITED,-1,phosphorylation
PP2CA_R1A_BD,RAF1,1,dephosphorylation
PPP2CA,PRKCB_INHIBITED,-1,dephosphorylation
MAPK9,CDK4,1,phosphorylation
MAPK9,ELK1,1,phosphorylation
MAPK9,MYC,1,phosphorylation
MAPK8,CDK4,1,phosphorylation
