gene_name,sign,mf
NFKB_P65_P50,1,tf
GRK2,1,kin
MAPK1,1,kin
PRKCZ,1,kin
MAPK3,1,kin
BMP7,1,other
CALCIUM_2__,1,other
CAMK2G,1,kin
CAMKK2,1,kin
CSNK2A1,1,kin
CDK5,1,kin
CHEK2,1,kin
EPHA2,1,kin
FYN,1,kin
IRAK1,1,kin
CCND1,1,other
CYCLIND_CDK4,1,kin
CSNK1G1,1,kin
NFKB1,1,tf
MYC,1,tf
STAT3,1,tf
RELA,1,tf
SRC,1,kin
MAPK8,1,kin
CAMK2B,1,kin
NLK,1,kin
PLK1,1,kin
PRKAR1A,1,other
RPS6KA1,1,kin
TBK1,1,kin
TNF,1,other
VRK2,1,kin
CDKN1A,1,kin
DUSP16,1,phos
DUSP7,1,phos
EIF2AK2,1,kin
ESR2,1,tf
MARK2,1,kin
CHEK1,1,kin
NANOG,1,tf
PDPK1,1,kin
PRKCI,1,kin
PLK2,1,kin
PRKACA,1,kin
PRKCA,1,kin
PRKCB,1,kin
PRKCD,1,kin
STK11,1,kin
TFEB,1,tf
BRAF,1,kin
CDK2,1,kin
EGFR,1,kin
NPM1,1,tf
SP1,1,tf
TSC2,1,other
IGF1R,1,kin
MAP3K13,1,kin
TRIM25,1,tf
PLCG1,1,other
CDK7,1,kin
APOPTOSIS,1,phenotype
MAPK14_INHIBITED,-1,kin
CEBPA,1,tf
JUN_INHIBITED,-1,NaN
MAP3K8_INHIBITED,-1,kin
JUND_INHIBITED,-1,NaN
BMPR2,1,kin
CALM1_INHIBITED,-1,other
CALM2_INHIBITED,-1,other
CALM3_INHIBITED,-1,other
CAMK2D,1,kin
MAP3K7,1,kin
STAT1,1,tf
AKT1_INHIBITED,-1,kin
TFAP2A,1,tf
PIK3C3_INHIBITED,-1,kin
ULK1,1,kin
YES1,1,kin
PROLIFERATION,1,phenotype
ELK1,1,tf
ETS1,1,tf
RB1_INHIBITED,-1,tf
RUNX3_INHIBITED,-1,tf
LYN,1,kin
HNF4A_INHIBITED,-1,tf
NCF1,1,other
RPS6KA3_INHIBITED,-1,kin
SOX9_INHIBITED,-1,tf
S100A9,1,other
ADCY3_INHIBITED,-1,other
HNRNPA1,1,other
APOPTOSIS_INHIBITED,-1,phenotype
PRKACB_INHIBITED,-1,kin
TGFB1_INHIBITED,-1,other
RIPK2,1,kin
CYCLINB_CDK1_INHIBITED,-1,kin
HIF1A,1,tf
MYCN,1,tf
EIF2S1_INHIBITED,-1,other
SOX10_INHIBITED,-1,tf
SREBF2,1,tf
TP53_INHIBITED,-1,tf
NFATC1_INHIBITED,-1,tf
RUNX2,1,tf
PINK1,1,kin
CDX2_INHIBITED,-1,tf
PRKCE_INHIBITED,-1,kin
NFE2L2,1,tf
MASTL,1,kin
POU5F1_INHIBITED,-1,tf
SLC9A1_INHIBITED,-1,other
HOXA9_INHIBITED,-1,tf
VDR,1,tf
ESR1,1,tf
MAVS_INHIBITED,-1,other
MAP2K2,1,kin
X1_2_DIACYL_SN_GLYCEROL,1,other
NANOG_INHIBITED,-1,NaN
CDK12,1,kin
RPS6KA5,1,kin
