source,target,sign,mechanism
PRKCD,RPS6,1,phosphorylation
PRKCD,TP53,1,phosphorylation
PRKCD,TSC2_INHIBITED,-1,phosphorylation
TP53,PROLIFERATION,1,NaN
YAP1,CCNA2,1,transcriptional regulation
KSR1,BRAF,1,binding
AKT2,HSF1_INHIBITED,-1,phosphorylation
ABL1,BTK,1,phosphorylation
BTK,BMX,1,phosphorylation
LYN,BTK,1,phosphorylation
LYN,CBL_INHIBITED,-1,phosphorylation
LYN,PRKCD,1,phosphorylation
PRKACA,ADRB2_INHIBITED,-1,phosphorylation
YES1,CDK4_INHIBITED,-1,phosphorylation
PPM1A,IKBKE_INHIBITED,-1,dephosphorylation
PPM1A,YAP1,1,dephosphorylation
PPP1R1B,PPP1CA_INHIBITED,-1,binding
PRKACA,CAPN2_INHIBITED,-1,phosphorylation
CEBPA,SPI1,1,transcriptional regulation
PRKACA,PPP1R1B,1,phosphorylation
MDM2,DYRK2_INHIBITED,-1,ubiquitination
PRKCD,MAPK8,1,phosphorylation
PRKCD,PRKD1_INHIBITED,-1,phosphorylation
ESR1,PIK3R1,1,binding
MAPK3,RHOA,1,phosphorylation
PPP2CA,AKT3_INHIBITED,-1,dephosphorylation
PRKACA,RHOA,1,phosphorylation
RHOA,PKN2,1,binding
RHOA,PKN1,1,binding
VRK1,ATF2,1,phosphorylation
STK11,MELK,1,phosphorylation
YES1,YAP1,1,phosphorylation
GNAS,HCK,1,binding
ATM,ATF2,1,phosphorylation
ATM,STK11,1,phosphorylation
RHOA,ROCK1,1,binding
NEK1,VHL_INHIBITED,-1,phosphorylation
PDGFRB,TNK2,1,phosphorylation
YAP1,SMAD1,1,binding
ATM,MECOM,1,phosphorylation
ATM,SP1,1,phosphorylation
BTK,GTF2I,1,phosphorylation
BTK,TP53,1,phosphorylation
MAPK1,SLC9A1,1,phosphorylation
PRKCD,IL6ST_INHIBITED,-1,phosphorylation
LYN,SYK,1,phosphorylation
MAP3K7,MAP2K6,1,phosphorylation
MAPK8,TP53,1,phosphorylation
PAX3_FOXO1,FGFR4,1,transcriptional regulation
ATM,CHEK1_INHIBITED,-1,phosphorylation
ATM,HIF1A,1,phosphorylation
TBK1,NFKB_P65_P50_INHIBITED,-1,phosphorylation
KSR1,RAF1,1,binding;phosphorylation
PLK1,PAX3_FOXO1,1,phosphorylation
PRKACA,NF2_INHIBITED,-1,phosphorylation
PRKD1,SSH1,1,phosphorylation
CDK5,ATM,1,phosphorylation
SMG1,TP53,1,phosphorylation
CYCLINA2_CDK2,MASTL,1,phosphorylation
SYK,BTK,1,phosphorylation
SYK,STAT1,1,phosphorylation
TP53,APOPTOSIS_INHIBITED,-1,NaN
BRAF,NANOG,1,phosphorylation
ITK,BMX,1,phosphorylation
PRKCD,DAB2_INHIBITED,-1,phosphorylation
MAPK3,RHOA_INHIBITED,-1,phosphorylation
MET,RANBP9_INHIBITED,-1,binding
MAPK8,APOPTOSIS_INHIBITED,-1,NaN
MYD88,IRAK1,1,binding
MYD88,IRAK4,1,binding
NEK5,CCNA2,1,binding
MAPK8,CTBP1_INHIBITED,-1,phosphorylation
S100A9,TLR4,1,binding
TLR4,MYD88,1,binding
MAPK8,STAT1,1,phosphorylation
SRC,HIPK2,1,phosphorylation
RET,MAPK8,1,phosphorylation
PRKACA,PTPN12_INHIBITED,-1,phosphorylation
PLK3,VRK1,1,phosphorylation
FGFR1,PDK1,1,phosphorylation
RHOA,MAPK8,1,binding
MAPK14,SLC9A1,1,phosphorylation
MAPK3,SREBF1,1,phosphorylation
YES1,ETS1,1,phosphorylation
MAPKAPK2,RPS6KA3,1,phosphorylation
