gene_ID	gene_name	difference	tstat	logpval	significant
A1BG	A1BG	-0.583991371405887	-0.583991371405887	1.44077388269928	NA
A1BG-AS1	A1BG-AS1	-0.352984164191998	-0.352984164191998	1.27589968748895	NA
A2M	A2M	2.07635351272766	2.07635351272766	0.0378612674013538	+
A2ML1	A2ML1	-0.726134010351757	-0.726134010351757	1.53224337880658	NA
A2MP1	A2MP1	-1.93576990129526	-1.93576990129526	1.94710411116199	NA
A3GALT2	A3GALT2	-0.687327782027241	-0.687327782027241	1.50812380460978	NA
A4GALT	A4GALT	1.41464800896534	1.41464800896534	0.157171725142997	NA
AAAS	AAAS	0.657943502588502	0.657943502588502	0.510574435594902	NA
AACS	AACS	0.687327782027241	0.687327782027241	0.491876195390222	NA
AACSP1	AACSP1	-2.45557000942898	-2.45557000942898	1.98593386487376	+
AADAC	AADAC	-1.61633872054542	-1.61633872054542	1.8939789004906	NA
AADACL2-AS1	AADACL2-AS1	-1.28829899656901	-1.28829899656901	1.80235809770518	NA
AADACP1	AADACP1	-0.687327782027241	-0.687327782027241	1.50812380460978	NA
AADAT	AADAT	-0.180542164440785	-0.180542164440785	1.14327304423701	NA
AAED1	AAED1	0.0596158564391477	0.0596158564391477	0.952461589218744	NA
AAGAB	AAGAB	0.529289840824429	0.529289840824429	0.596604401948132	NA
AAK1	AAK1	-0.0354848218827673	-0.0354848218827673	1.02830685086338	NA
AAMDC	AAMDC	0.831232799901386	0.831232799901386	0.405842128851158	NA
AAMP	AAMP	0.994625661693956	0.994625661693956	0.319918361861063	NA
AANAT	AANAT	-0.687327782027241	-0.687327782027241	1.50812380460978	NA
AAR2	AAR2	0.538745681612674	0.538745681612674	0.590062348343471	NA
AARD	AARD	-0.126416796201263	-0.126416796201263	1.10059799263206	NA
AARS	AARS	0.726676280791226	0.726676280791226	0.467424286934424	NA
AARS2	AARS2	-0.202436333434354	-0.202436333434354	1.16042437362443	NA
AARSD1	AARSD1	-0.687327782027241	-0.687327782027241	1.50812380460978	NA
AASDH	AASDH	0.119367280488163	0.119367280488163	0.904984382310103	NA
