diff	lwr	upr	p adj	gene_name	cluster	mean_exp_clus	comparison
0.5681456486150268	0.3274684203934737	0.8088228768365799	7.797948500365415e-6	CILP	Comm_5	0.8837441270047562	Comm_5-background
0.5072376223942492	0.2868573101806078	0.7276179346078906	1.256623606460394e-5	SFRP2	Comm_5	1.692333950725278	Comm_5-background
0.5084707160021422	0.2758946617988658	0.7410467702054186	3.126792001717504e-5	CES1	Comm_5	0.1171474335291225	Comm_5-background
0.6142537408215976	0.3179711860748896	0.9105362955683055	7.415197909221849e-5	TPSAB1	Comm_5	0.9866980971478859	Comm_5-background
0.5407159721223134	0.2637634939494223	0.8176684502952045	1.803965089240966e-4	TPSB2	Comm_5	0.5848494493222511	Comm_5-background
0.7118985258558871	0.3300357532490157	1.093761298462758	3.371416997882681e-4	LPCAT2	Comm_5	0.8116229249559267	Comm_5-background
0.6939174085853559	0.3069660016928615	1.08086881547785	5.499737814709249e-4	TPSD1	Comm_5	0.01890188034690402	Comm_5-background
0.513169482412647	0.2224382595785068	0.8039007052467873	6.655266029241824e-4	ARHGEF38	Comm_5	0.2022538654494069	Comm_5-background
0.735395276018549	0.3109653138740339	1.159825238163064	8.266272718966405e-4	CST2	Comm_5	0.6130736462628482	Comm_5-background
0.5297061500502194	0.2145967238166921	0.8448155762837466	0.001160603195543564	REEP6	Comm_5	0.8182476539075071	Comm_5-background
0.5629663398567755	0.2162870529757511	0.9096456267377999	0.001675242340317795	HPX	Comm_5	0.7056827506264047	Comm_5-background
0.5034831239039166	0.1920176710580763	0.8149485767497568	0.001755469147389999	OGN	Comm_5	0.2375579191102767	Comm_5-background
0.7982109677976581	0.300597616785304	1.295824318810012	0.001898496623646717	AGR2	Comm_5	2.188631667027455	Comm_5-background
0.947362439901353	0.356662614297263	1.538062265505443	0.001901866434655064	TFF3	Comm_5	1.624982798077778	Comm_5-background
0.6355912904387073	0.2309248383650356	1.040257742512379	0.002339039794746922	MLPH	Comm_5	1.742776605026298	Comm_5-background
0.6494803827082141	0.2205933276386103	1.078367437777818	0.003301117954215504	C4B_2	Comm_5	0.8376994442650947	Comm_5-background
0.5443891446037442	0.183523598688751	0.9052546905187374	0.00341807671500205	CPA3	Comm_5	0.6642507419725113	Comm_5-background
0.6497505662163675	0.2089098603694929	1.090591272063242	0.004204583295177811	CAPN8	Comm_5	0.6779045580164141	Comm_5-background
0.9785974186777311	0.3071079224905624	1.6500869148649	0.004635427109431545	SCGB2A2	Comm_5	2.24132973932837	Comm_5-background
0.9347758954120851	0.2908378393452956	1.578713951478874	0.004793028421051337	TFF1	Comm_5	1.722166307023616	Comm_5-background
0.5401594883021441	0.167625820869623	0.9126931557346653	0.004840803236651037	C9orf152	Comm_5	0.4086335477572513	Comm_5-background
0.6169454737866674	0.1898534933532225	1.044037454220112	0.004997109223661256	TMC5	Comm_5	0.3803838741191052	Comm_5-background
0.5195991271431877	0.1422906204034076	0.8969076338829678	0.007358455186140977	AREG	Comm_5	0.5092705820794161	Comm_5-background
0.6344513423014082	0.1726778805004154	1.096224804102401	0.007491380468347852	SLC44A4	Comm_5	0.7669403060434756	Comm_5-background
0.5723052933975894	0.1519746168852403	0.9926359699099385	0.00803098748632236	CLIC6	Comm_5	0.0045076133986035934	Comm_5-background
0.5981096089830276	0.1587676985977509	1.037451519368304	0.008039240064206199	SCUBE2	Comm_5	0.9079112294021783	Comm_5-background
0.6585313791561096	0.1711821305162571	1.145880627795962	0.008506703832945606	FOXA1	Comm_5	1.284413336671065	Comm_5-background
